condition,n,rt_ms,fa_pct,rt_sd_ms,fa_sd_pct
A,9,443.28670548929676,13.001277139208172,57.362383173430636,3.4790031554488525
B,9,793.2141818987856,71.11111111111111,83.97275103327014,14.043582955293934
C,9,668.2258221381469,80.37037037037038,54.318414328466574,5.638273091717905
