participant,condition,finger_id,n,n_left,n_right,n_judged,fa,rt_s,n_rt_complete,rt_complete_s
P14,A,1,49,27,22,49,0.061224489795918366,0.5892489686304209,3,0.489106019337972
P14,A,2,69,37,32,69,0.36231884057971014,0.5348643012668776,25,0.5231033420562744
P14,A,3,59,31,28,59,0.288135593220339,0.5898518804776467,17,0.5863354206085205
P14,A,4,49,16,33,49,0.02040816326530612,0.5721840663832061,1,0.5153629779815674
P14,A,5,44,20,24,44,0.0,0.5635427615859292,0,
P14,B,1,41,21,20,41,0.975609756097561,0.9613581575998446,40,0.9340185105800629
P14,B,2,68,35,33,68,0.9705882352941176,1.0498734712600708,66,1.0489655913728657
P14,B,3,63,31,32,63,0.9047619047619048,0.9733017966860816,57,0.9717390369950679
P14,B,4,54,29,25,54,0.9444444444444444,1.0272019704182942,51,1.0305439023410572
P14,B,5,44,19,25,44,0.9772727272727273,1.0666048797694119,43,1.0724762206853822
P14,C,1,36,14,22,36,1.0,0.8167318635516696,36,0.8167318635516696
P14,C,2,57,30,27,57,0.9473684210526315,0.9573073136179071,54,0.9605981773800321
P14,C,3,62,30,32,62,1.0,0.7681978441053822,62,0.7681978441053822
P14,C,4,61,37,24,61,0.9508196721311475,0.8450717808770352,58,0.8487234732200359
P14,C,5,54,32,22,54,0.9629629629629629,0.9445908069610596,52,0.954209240583273
