participant,finger_id,x,y,estimator
P14,1,0.9340185105800629,0.11728664702839331,naive
P14,2,1.0489655913728657,0.08836741399283365,naive
P14,3,0.9717390369950679,0.20354119288968575,naive
P14,4,1.0305439023410572,0.18182042912102125,naive
P14,5,1.0724762206853822,0.11826698010210912,naive
P14,1,0.8753751870658663,0.11728664702839331,oldham
P14,2,1.0047818843764489,0.08836741399283365,oldham
P14,3,0.869968440550225,0.20354119288968575,oldham
P14,4,0.9396336877805466,0.18182042912102125,oldham
P14,5,1.0133427306343277,0.11826698010210912,oldham
P14,1,0.8851358890533447,0.19061057931847047,split_half
P14,2,0.9960425479992016,0.15588991760750837,split_half
P14,3,0.9378453120589256,0.24692516080794802,split_half
P14,4,1.026413721697671,0.18684847512166547,split_half
P14,5,1.040957361459732,0.1580802759660883,split_half
