condition,n_events,median_ms,mean_ms,sd_ms,min_ms,p95_ms,max_ms
A,269,531.2697887420654,567.0931108822167,166.24227953887103,381.21604919433594,839.5898342132567,1646.0838317871094
B,269,946.9747543334961,1012.8984043589312,272.7587033500915,621.4840412139893,1532.0472717285156,2873.703956604004
C,270,810.9339475631714,867.2385648444847,310.03586546667094,469.9592590332031,1350.611138343811,4130.697011947632
