participant,position,condition,level,fa_main_raw,fa_main_adjusted,rt_correct_key_s_raw,rt_correct_key_s_adjusted
P14,1,B,beta,0.9,0.9277777777777777,1.0947590986887614,0.9935498654157269
P14,2,B,alpha,0.9333333333333333,0.9166666666666666,1.0559130589167276,1.080251282385026
P14,3,C,alpha,1.0,0.9833333333333333,1.1598053455352784,1.1710289735903685
P14,4,B,beta,0.9333333333333333,0.961111111111111,1.0340774615605672,0.9328682282875327
P14,6,C,alpha,0.9333333333333333,0.9166666666666666,0.8142231782277425,0.8254468062828327
P14,8,C,alpha,1.0,0.9833333333333333,0.8131895939509074,0.8244132220059976
P14,9,C,beta,0.9,0.9166666666666669,0.7563266595204671,0.9125541573740057
P14,10,C,gamma,1.0,0.9722222222222222,0.9712527434031168,1.022974924840233
P14,11,B,gamma,0.8666666666666667,0.8833333333333333,1.135937057692429,0.993634760151421
P14,14,C,beta,1.0,1.0166666666666668,0.8255821228027344,0.981809620656273
P14,15,B,gamma,1.0,1.0166666666666666,1.079230785369873,0.9369284878288651
P14,16,B,gamma,0.9666666666666667,0.9833333333333333,1.032628051439921,0.8903257538989131
P14,17,B,alpha,1.0,0.9833333333333333,0.8869989713033041,0.9113371947716025
P14,18,C,gamma,0.9666666666666667,0.9388888888888889,0.9241231362024943,0.9758453176396104
P14,20,C,beta,0.9333333333333333,0.9500000000000002,0.7702977259953817,0.9265252238489203
P14,21,B,beta,0.9666666666666667,0.9944444444444444,0.9956801414489747,0.8944709081759401
P14,24,B,alpha,1.0,0.9833333333333333,0.8049623012542725,0.8293005247225709
P14,27,C,gamma,1.0,0.9722222222222222,0.7703465779622396,0.8220687593993556
