participant,condition,theta,fa,n_trials,n_events,source
P14,B,0.3,0.9370370370370371,9,270,automatic_target_probability
P14,B,0.35,0.9074074074074073,9,270,automatic_target_probability
P14,B,0.4,0.874074074074074,9,270,automatic_target_probability
P14,B,0.45,0.7925925925925926,9,270,automatic_target_probability
P14,B,0.5,0.7185185185185186,9,270,automatic_target_probability
P14,C,0.3,0.9629629629629631,9,270,automatic_target_probability
P14,C,0.35,0.9518518518518518,9,270,automatic_target_probability
P14,C,0.4,0.914814814814815,9,270,automatic_target_probability
P14,C,0.45,0.8074074074074074,9,270,automatic_target_probability
P14,C,0.5,0.7296296296296297,9,270,automatic_target_probability
