participant,condition,trial_index,level,sequence,rt_ms,fa_pct,included
P14,B,1,beta,1799551287-β-1,1094.7590986887615,90.0,True
P14,B,2,alpha,1799551287-α-2,1055.9130589167276,93.33333333333333,True
P14,C,3,alpha,1799551287-α-6,1159.8053455352783,100.0,True
P14,B,4,beta,1799551287-β-6,1034.0774615605671,93.33333333333333,True
P14,A,5,beta,1799551287-β-4,539.7955814997355,10.0,True
P14,C,6,alpha,1799551287-α-1,814.2231782277424,93.33333333333333,True
P14,A,7,gamma,1799551287-γ-2,627.5269905726116,20.0,True
P14,C,8,alpha,1799551287-α-4,813.1895939509074,100.0,True
P14,C,9,beta,1799551287-β-7,756.326659520467,90.0,True
P14,C,10,gamma,1799551287-γ-9,971.2527434031168,100.0,True
P14,B,11,gamma,1799551287-γ-6,1135.937057692429,86.66666666666667,True
P14,A,12,alpha,1799551287-α-3,548.3654975891113,23.333333333333332,True
P14,A,13,beta,1799551287-β-9,505.6020657221476,16.666666666666664,True
P14,C,14,beta,1799551287-β-5,825.5821228027344,100.0,True
P14,B,15,gamma,1799551287-γ-3,1079.230785369873,100.0,True
P14,B,16,gamma,1799551287-γ-1,1032.6280514399211,96.66666666666667,True
P14,B,17,alpha,1799551287-α-9,886.9989713033041,100.0,True
P14,C,18,gamma,1799551287-γ-4,924.1231362024943,96.66666666666667,True
P14,A,19,beta,1799551287-β-8,488.46310774485266,10.0,True
P14,C,20,beta,1799551287-β-2,770.2977259953817,93.33333333333333,True
P14,B,21,beta,1799551287-β-3,995.6801414489746,96.66666666666667,True
P14,A,22,alpha,1799551287-α-7,564.9985233942668,26.666666666666668,True
P14,A,23,gamma,1799551287-γ-5,649.2284695307414,20.0,True
P14,B,24,alpha,1799551287-α-5,804.9623012542725,100.0,True
P14,A,25,alpha,1799551287-α-8,504.8691987991333,13.333333333333334,True
P14,A,26,gamma,1799551287-γ-7,678.7090959220096,13.333333333333334,True
P14,C,27,gamma,1799551287-γ-8,770.3465779622396,100.0,True
