condition,target_finger,actual_finger,count
A,L1,L1,1
A,L1,L2,6
A,L1,L3,5
A,L1,L4,4
A,L1,R1,5
A,L1,R2,6
A,L2,L1,2
A,L2,L2,6
A,L2,L3,7
A,L2,L4,1
A,L2,L5,1
A,L2,R1,15
A,L2,R2,4
A,L2,R3,1
A,L3,L1,2
A,L3,L2,5
A,L3,L3,4
A,L3,L4,4
A,L3,L5,2
A,L3,R1,10
A,L3,R2,4
A,L4,L2,3
A,L4,L3,5
A,L4,L4,1
A,L4,L5,1
A,L4,R1,4
A,L4,R2,2
A,L5,L2,7
A,L5,L3,8
A,L5,L4,4
A,L5,R1,1
A,R1,R1,2
A,R1,R2,16
A,R1,R3,3
A,R1,R4,1
A,R2,L2,1
A,R2,R1,5
A,R2,R2,19
A,R2,R3,3
A,R2,R4,4
A,R3,L1,2
A,R3,L2,4
A,R3,L3,1
A,R3,R1,5
A,R3,R2,15
A,R3,R3,1
A,R4,L2,1
A,R4,L3,2
A,R4,R1,5
A,R4,R2,20
A,R4,R3,5
A,R5,R1,1
A,R5,R2,19
A,R5,R3,4
B,L1,L1,21
B,L2,L2,33
B,L2,L3,2
B,L3,L2,1
B,L3,L3,25
B,L3,R2,1
B,L3,R3,4
B,L4,L3,4
B,L4,L4,25
B,L5,L4,1
B,L5,L5,18
B,R1,R1,20
B,R2,R2,33
B,R3,R2,15
B,R3,R3,17
B,R4,R3,1
B,R4,R4,24
B,R5,R4,3
B,R5,R5,22
C,L1,L1,14
C,L2,L1,1
C,L2,L2,28
C,L2,L3,1
C,L3,L3,29
C,L3,L4,1
C,L4,L3,3
C,L4,L4,33
C,L4,L5,1
C,L5,L4,1
C,L5,L5,31
C,R1,R1,22
C,R2,R2,26
C,R2,R3,1
C,R3,R2,28
C,R3,R3,4
C,R4,R3,1
C,R4,R4,23
C,R5,R4,2
C,R5,R5,20
