participant,condition,category,count,n_events,proportion
P14,A,Correct key + correct finger,46,270,0.17037037037037037
P14,A,Correct key + wrong finger,223,270,0.825925925925926
P14,A,Wrong key + correct finger,0,270,0.0
P14,A,Wrong key + wrong finger,1,270,0.003703703703703704
P14,A,Unresolved finger,0,270,0.0
P14,A,No response (timeout),0,270,0.0
P14,B,Correct key + correct finger,257,270,0.9518518518518518
P14,B,Correct key + wrong finger,12,270,0.044444444444444446
P14,B,Wrong key + correct finger,1,270,0.003703703703703704
P14,B,Wrong key + wrong finger,0,270,0.0
P14,B,Unresolved finger,0,270,0.0
P14,B,No response (timeout),0,270,0.0
P14,C,Correct key + correct finger,262,270,0.9703703703703703
P14,C,Correct key + wrong finger,8,270,0.02962962962962963
P14,C,Wrong key + correct finger,0,270,0.0
P14,C,Wrong key + wrong finger,0,270,0.0
P14,C,Unresolved finger,0,270,0.0
P14,C,No response (timeout),0,270,0.0
