seq,probe_id,warmup,sent_wall_ns,rtt_ns,server_ack_rtt_ns,presented_rtt_ns,student_dispatch_ns,student_receive_wall_ns,server_receive_wall_ns,wall_delta_teacher_to_student_ns,lost,physical_led_onset_ns,physical_haptic_onset_ns
0,64219de6-6cb0-4853-8ef1-36d6d826855c,1,1787003360389740000,31811833,15787208,,,1787003360405219000,1787003360463771019,15479000,0,,
1,9b01e061-1f8c-4ffb-9c01-ca909020f25c,1,1787003360894589000,29212875,12328917,,,1787003360906724000,1787003360967045134,12135000,0,,
2,fa586602-8376-4b25-af35-4d513f288a4d,1,1787003361399905000,36131375,19081959,,,1787003361418637000,1787003361478562238,18732000,0,,
3,7a0dc09c-a313-40fa-afe2-afc7bd81c411,1,1787003361905487000,55738875,41816417,,,1787003361947112000,1787003362003678635,41625000,0,,
4,7e3c0541-c150-4dfa-866a-d6dbb10194ed,1,1787003362410749000,143176584,72202875,,,1787003362482588000,1787003362596607267,71839000,0,,
5,ad13ca59-23b1-4ea3-8e64-3d2820b4f295,1,1787003362915624000,135756041,64065916,,,1787003362979351000,1787003363092988643,63727000,0,,
6,513282fc-ff1c-4009-8be5-61d344422d7c,1,1787003363417801000,145603375,72275125,,,1787003363490402000,1787003363605022691,72601000,0,,
7,35da9cbc-8b38-423b-9973-0f4383afe684,1,1787003363923305000,151037833,78867458,,,1787003364001960000,1787003364116931560,78655000,0,,
8,52000fee-3c95-4675-8987-c1f2bbf0721e,1,1787003364425948000,132941625,60989208,,,1787003364486723000,1787003364601401508,60775000,0,,
9,bd17387d-23c4-49ff-b315-2c77425a3511,1,1787003364931420000,41888042,32047917,,,1787003364963168000,1787003365016097448,31748000,0,,
10,53d6a4ef-d516-4dcc-b093-cf3fd545e0fb,1,1787003365436751000,37201458,17929333,,,1787003365454333000,1787003365514407222,17582000,0,,
11,81fa5c6d-7383-48c8-b607-5c3ade5442f8,1,1787003365939394000,34868375,19972583,,,1787003365959091000,1787003366017030118,19697000,0,,
