participant,condition,trial_index,level,sequence,rt_ms,fa_pct,included
P05,A,1,gamma,1799551287-γ-4,706.5913430575666,3.3333333333333335,True
P05,B,2,gamma,1799551287-γ-5,1483.6909770965576,100.0,True
P05,C,3,beta,1799551287-β-7,989.8947954177856,90.0,True
P05,A,4,alpha,1799551287-α-7,498.95139398245976,13.333333333333334,True
P05,B,5,gamma,1799551287-γ-8,1252.522834142049,96.66666666666667,True
P05,B,6,beta,1799551287-β-8,1220.5926815668743,100.0,True
P05,C,7,beta,1799551287-β-1,1155.2634874979656,100.0,True
P05,B,8,alpha,1799551287-α-5,1082.5294891993206,100.0,True
P05,C,9,alpha,1799551287-α-1,927.8376658757528,100.0,True
P05,B,10,beta,1799551287-β-2,990.8519585927328,100.0,True
P05,B,11,beta,1799551287-β-5,1074.6179103851318,96.66666666666667,True
P05,A,12,beta,1799551287-β-4,565.2553160985311,13.333333333333334,True
P05,A,13,gamma,1799551287-γ-9,592.3746506373087,13.333333333333334,True
P05,B,14,gamma,1799551287-γ-6,1187.6731077829995,96.66666666666667,True
P05,A,15,beta,1799551287-β-3,545.1897621154785,33.33333333333333,True
P05,C,16,gamma,1799551287-γ-2,732.9068819681803,100.0,True
P05,A,17,beta,1799551287-β-6,452.7398268381754,20.0,True
P05,C,18,beta,1799551287-β-9,788.8158162434896,96.66666666666667,True
P05,C,19,alpha,1799551287-α-3,575.409976641337,100.0,True
P05,A,20,gamma,1799551287-γ-1,541.7346000671387,20.0,True
P05,C,21,alpha,1799551287-α-9,729.1286706924438,93.33333333333333,True
P05,A,22,alpha,1799551287-α-2,554.6317418416342,20.0,True
P05,A,23,alpha,1799551287-α-8,561.4293575286865,6.666666666666667,True
P05,C,24,gamma,1799551287-γ-7,808.1661303838093,100.0,True
P05,B,25,alpha,1799551287-α-4,826.7001738915076,73.33333333333333,True
P05,B,26,alpha,1799551287-α-6,860.1152201493582,80.0,True
P05,C,27,gamma,1799551287-γ-3,785.8893235524496,100.0,True
