condition,target_finger,n,n_judged,fa,rt_s
A,L5,20,20,0.0,0.6963946104049683
A,L4,23,23,0.0,0.5446585261303446
A,L3,30,30,0.13333333333333333,0.5815638780593873
A,L2,40,40,0.15,0.5638172268867493
A,L1,18,18,0.0,0.5874929825464884
A,R1,19,19,0.0,0.4809252462889019
A,R2,33,33,0.696969696969697,0.5063050949212277
A,R3,28,28,0.35714285714285715,0.5455246227128165
A,R4,36,36,0.0,0.5523518919944763
A,R5,23,23,0.0,0.5427313887554667
B,L5,29,29,0.9310344827586207,1.204193583850203
B,L4,33,33,0.9393939393939393,1.0837861841375178
B,L3,32,32,0.9375,1.0119046717882156
B,L2,28,28,1.0,1.185022039072854
B,L1,19,19,0.9473684210526316,1.1607715330625836
B,R1,19,19,1.0,1.038493231723183
B,R2,30,30,0.9,1.1251665194829306
B,R3,34,34,1.0,0.9680488109588623
B,R4,25,25,0.96,1.2714956569671632
B,R5,21,21,0.7142857142857143,1.1059172267005557
C,L5,22,22,0.9545454545454546,1.034565968946977
C,L4,26,26,0.9615384615384616,0.9310623682462252
C,L3,30,30,0.9666666666666667,0.9144329865773518
C,L2,34,34,0.9705882352941176,0.8181562143213609
C,L1,25,25,0.96,0.9319072151184082
C,R1,26,26,1.0,0.6730438287441547
C,R2,29,29,1.0,0.6516975534373316
C,R3,30,30,1.0,0.7397637844085694
C,R4,21,21,1.0,0.829087632043021
C,R5,27,27,0.9629629629629629,0.8622668849097358
