participant,finger_id,x,y,estimator
P05,1,1.109553201778515,0.3131704217034418,naive
P05,2,1.164942741394043,0.4370318805017779,naive
P05,3,0.9935622476041317,0.18091102556909544,naive
P05,4,1.177758754383434,0.28979049407446344,naive
P05,5,1.2278630960555303,0.28478702320033167,naive
P05,1,0.9529679909267941,0.3131704217034418,oldham
P05,2,0.946426801143154,0.4370318805017779,oldham
P05,3,0.903106734819584,0.18091102556909544,oldham
P05,4,1.0328635073462022,0.28979049407446344,oldham
P05,5,1.0854695844553646,0.28478702320033167,oldham
P05,1,1.0959058891643176,0.3331864802042642,split_half
P05,2,1.219323071566495,0.3554613852430999,split_half
P05,3,1.0479126771291096,0.12305411671992528,split_half
P05,4,1.1756792629466337,0.29315728973404476,split_half
P05,5,1.2915575731368292,0.22109254611903284,split_half
