condition,target_finger,actual_finger,count
A,L1,L2,4
A,L1,L3,4
A,L1,L4,1
A,L1,R2,6
A,L1,R3,3
A,L2,L2,6
A,L2,L3,5
A,L2,L4,2
A,L2,L5,2
A,L2,R1,1
A,L2,R2,13
A,L2,R3,11
A,L3,L2,5
A,L3,L3,4
A,L3,L4,2
A,L3,R2,9
A,L3,R3,10
A,L4,L2,9
A,L4,L3,3
A,L4,R2,6
A,L4,R3,5
A,L5,L2,8
A,L5,L3,7
A,L5,R2,3
A,L5,R3,2
A,R1,R2,11
A,R1,R3,6
A,R1,R4,2
A,R2,L2,2
A,R2,R2,23
A,R2,R3,7
A,R2,R4,1
A,R3,L2,2
A,R3,L3,1
A,R3,R2,17
A,R3,R3,8
A,R4,L2,1
A,R4,R2,29
A,R4,R3,5
A,R4,R4,1
A,R5,L2,1
A,R5,R2,14
A,R5,R3,5
A,R5,R4,3
B,L1,L1,18
B,L1,L2,1
B,L2,L2,28
B,L3,L3,32
B,L4,L4,33
B,L5,L5,29
B,R1,R1,19
B,R2,R2,29
B,R2,R4,1
B,R3,R2,3
B,R3,R3,31
B,R4,L2,1
B,R4,R3,3
B,R4,R4,21
B,R5,R4,7
B,R5,R5,14
C,L1,L1,23
C,L1,L2,2
C,L2,L1,1
C,L2,L2,33
C,L3,L1,1
C,L3,L3,29
C,L4,L3,1
C,L4,L4,25
C,L5,L4,1
C,L5,L5,21
C,R1,R1,24
C,R1,R2,2
C,R2,R2,29
C,R3,R2,1
C,R3,R3,29
C,R4,R3,7
C,R4,R4,14
C,R5,R4,2
C,R5,R5,25
