condition,n_events,median_ms,mean_ms,sd_ms,min_ms,p95_ms,max_ms
A,268,500.2613067626953,557.3186456267514,292.62772665416173,320.9500312805176,953.8664698600764,3841.7770862579346
B,260,1059.7913265228271,1118.889763722053,357.67497324150196,485.9020709991455,1805.4741144180298,2949.5689868927
C,270,768.8819169998169,832.5903053636904,321.5685467563319,350.97479820251465,1478.234338760376,2737.332820892334
