participant,position,condition,level,fa_main_raw,fa_main_adjusted,rt_correct_key_s_raw,rt_correct_key_s_adjusted
P05,2,B,gamma,1.0,0.9796296296296296,1.4836909770965576,1.1464290652604523
P05,3,C,beta,0.9,0.9018518518518519,0.9898947954177857,0.9826038235358022
P05,5,B,gamma,0.9666666666666667,0.9462962962962963,1.2525228341420491,0.9152609223059438
P05,6,B,beta,1.0,0.9685185185185186,1.2205926815668742,1.0959388925563913
P05,7,C,beta,1.0,1.001851851851852,1.1552634874979655,1.1479725156159821
P05,8,B,alpha,1.0,1.1129629629629632,1.0825294891993205,1.1301149226236884
P05,9,C,alpha,1.0,0.9796296296296296,0.9278376658757528,1.154412622643672
P05,10,B,beta,1.0,0.9685185185185186,0.9908519585927328,0.8661981695822499
P05,11,B,beta,0.9666666666666667,0.9351851851851852,1.0746179103851319,0.949964121374649
P05,14,B,gamma,0.9666666666666667,0.9462962962962963,1.1876731077829996,0.8504111959468943
P05,16,C,gamma,1.0,0.9574074074074075,0.7329068819681803,0.927953164504464
P05,18,C,beta,0.9666666666666667,0.9685185185185186,0.7888158162434896,0.7815248443615062
P05,19,C,alpha,1.0,0.9796296296296296,0.5754099766413371,0.8019849334092561
P05,21,C,alpha,0.9333333333333333,0.912962962962963,0.7291286706924438,0.9557036274603629
P05,24,C,gamma,1.0,0.9574074074074075,0.8081661303838094,1.003212412920093
P05,25,B,alpha,0.7333333333333333,0.8462962962962963,0.8267001738915076,0.8742856073158757
P05,26,B,alpha,0.8,0.9129629629629631,0.8601152201493582,0.9077006535737262
P05,27,C,gamma,1.0,0.9574074074074075,0.7858893235524496,0.9809356060887332
