participant,condition,finger_id,n,n_left,n_right,n_judged,fa,rt_s,n_rt_complete,rt_complete_s
P05,A,1,37,18,19,37,0.0,0.5327690098736737,0,
P05,A,2,73,40,33,73,0.3972602739726027,0.5378185918886368,29,0.5098736450589937
P05,A,3,58,30,28,58,0.2413793103448276,0.5641656168575945,14,0.667892302785601
P05,A,4,59,23,36,59,0.0,0.5493527832677809,0,
P05,A,5,43,20,23,43,0.0,0.6142026546389557,0,
P05,B,1,38,19,19,38,0.9736842105263158,1.0996323823928833,37,1.109553201778515
P05,B,2,58,28,30,58,0.9482758620689655,1.1540622875608246,55,1.164942741394043
P05,B,3,66,32,34,66,0.9696969696969697,0.9893122586337003,64,0.9935622476041317
P05,B,4,58,33,25,58,0.9482758620689655,1.1646954396675373,55,1.177758754383434
P05,B,5,50,29,21,50,0.84,1.162917513847351,42,1.2278630960555303
P05,C,1,51,25,26,51,0.9803921568627451,0.7999376455942789,50,0.7963827800750732
P05,C,2,63,34,29,63,0.9841269841269841,0.7415323862953792,62,0.7279108608922651
P05,C,3,60,30,30,60,0.9833333333333333,0.8270983854929607,59,0.8126512220350363
P05,C,4,47,26,21,47,0.9787234042553191,0.8854991882405383,46,0.8879682603089706
P05,C,5,49,22,27,49,0.9591836734693877,0.9396256573346197,47,0.9430760728551987
