parameter,mean_B,mean_C,mean_difference,sd_difference,ci95_lo,ci95_hi,dz,t,df,p,wilcoxon_p,n_participants,n_higher_in_C
match_hand,5.8584247387128965,10.74854791133384,4.890123172620944,2.460905820479412,3.738383795793947,6.041862549447941,1.9871232502787506,8.886685334587229,19,3.399794915845287e-08,5.7220458984375e-06,20,19
match_digit,0.2860825415392102,0.1702239663655119,-0.11585857517369832,4.093703865948479,-2.031770960054506,1.8000538097071095,-0.02830165028237938,-0.12656882781365283,19,0.900611495413927,0.6476554870605469,20,8
digit_distance,-3.540762604303338,-4.167247360371841,-0.6264847560685037,3.866116704368884,-2.435883070613843,1.1829135584768355,-0.1620449675925582,-0.7246871258974212,19,0.47747428177744006,0.38837623596191406,20,7
w,0.47518004616014886,0.5864876773158652,0.11130763115571625,0.31712670012468125,-0.03711223316304431,0.2597274954744768,0.3509878894207099,1.5696655600477731,19,0.13299716170340525,0.08969497680664062,20,13
