model,n_params,loglik,AIC,BIC,converged,cv_loglik_A,cv_top1_A,cv_loglik_B,cv_top1_B,cv_loglik_C,cv_top1_C
M0 no cue evidence,244,-26156.268686058906,52800.53737211781,54677.497083029535,True,-1.3975149220272205,0.520941438102298,-1.8417802639581828,0.24578625671420634,-1.8380128395047914,0.25203703703703706
M1 unitary cue,246,-10006.37290663111,20504.74581326222,22397.090439837157,True,-1.3392352380294013,0.5101927353595256,-0.4035819611853099,0.9210964993517318,-0.33118306141163517,0.9401851851851852
M2 hand + digit,248,-9657.205043777016,19810.41008755403,21718.13962979218,True,-1.3368356496386065,0.5109340252038547,-0.38374613976908944,0.9210964993517318,-0.30077817370183785,0.9401851851851852
M3 hand + digit + digit gradient,250,-9235.019578070664,18970.039156141327,20893.153614042683,True,-1.3409413056244923,0.5044477390659748,-0.34838056195535494,0.9210964993517318,-0.2621327431644517,0.9401851851851852
"M4 M3, evidence free per cued digit",266,-9072.259594446688,18676.519188893377,20722.71297210042,True,-1.333708554926487,0.5074128984432913,-0.33806389540989157,0.9210964993517318,-0.25457798990514313,0.9401851851851852
