model,term,estimate,se,t,p
without selection term,C(condition)[T.C]:C(digit)[T.2],-0.09925770157963591,0.03368776684821575,-2.9464019395186782,0.0032149433787790416
without selection term,C(condition)[T.C]:C(digit)[T.3],-0.09754749148797791,0.03386042421963694,-2.8808703297759166,0.003965787594422007
without selection term,C(condition)[T.C]:C(digit)[T.4],-0.0723062932521681,0.036647618904969606,-1.973014766379897,0.04849388000327274
without selection term,C(condition)[T.C]:C(digit)[T.5],0.05523449828701321,0.016296834173803176,3.389277800703251,0.0007007697701068603
with selection term,C(condition)[T.C]:C(digit)[T.2],-0.0878203408452408,0.03365727955269742,-2.609252500866564,0.009074025937342096
with selection term,C(condition)[T.C]:C(digit)[T.3],-0.09074020145575383,0.03469955109560805,-2.6150252262842355,0.00892208656084441
with selection term,C(condition)[T.C]:C(digit)[T.4],-0.07049356720242377,0.03700927891928251,-1.9047538687843855,0.056812073006947746
with selection term,C(condition)[T.C]:C(digit)[T.5],0.050516945982607135,0.016859874289507564,2.996282482013845,0.0027329313677087108
