condition,parameter,n_participants,pearson_r,p,spearman_rho,spearman_p,prediction
B,match_hand[B],20,0.09158221520206669,0.7009747901900925,0.21052631578947367,0.3729699095048001,negative r if RT cost is set by evidence rate
C,match_hand[C],20,0.2546256401872122,0.27863915455062876,0.44360902255639095,0.05008922172295619,negative r if RT cost is set by evidence rate
