block,parameter,estimate
cue evidence,match_hand[B],5.018815433910264
cue evidence,match_digit[B],1.6887451542871195
cue evidence,digit_distance[B],-1.7378116799240784
cue evidence,match_hand[C],8.599847707942002
cue evidence,match_digit[C],1.1051273544554587
cue evidence,digit_distance[C],-2.3987402719502944
motor,repeat_finger,-0.19034086383570537
motor,repeat_hand,0.07747895521983841
prior weight,w[B],0.348316856748667
prior weight,w[C],0.35194665202788583
