variant,w_B,w_C,loglik,delta_loglik
fitted w,0.348316856748667,0.35194665202788583,-3270.50229686528,0.0
w = 0 (habit abolished by the cue),0.0,0.0,-3460.0717719267213,189.56947506144115
w = 1 (habit acts at full strength),1.0,1.0,-3760.5623062273316,490.06000936205146
