file,kind,participants,model,events,rows,columns
prediction_events_primary.csv,table,,,,16195,"participant, trial, event, condition, target_finger, actual_finger, predicted_finger, p_L1, p_L2, p_L3, p_L4, p_L5, p_R1, p_R2, p_R3, p_R4, p_R5, p_correct, p_wrong_hand, p_homologous, predicted_rt, actual_rt, fold_id, model_name, variant, level, target_key, second_choice, p_within_hand, observed_outcome, log_loss, top1_hit, top2_hit, conflict, rt_residual"
prediction_folds.csv,table,,,,205,"model_name, variant, fold_id, n_events"
prediction_highest_risk_events.csv,table,,,,25,"participant, trial, event, condition, target_key, target_finger, actual_finger, predicted_finger, p_correct, p_within_hand, p_wrong_hand, p_homologous, observed_outcome, actual_rt, predicted_rt, fold_id"
prediction_leakage_audit.csv,table,,,,6,"check, holds"
prediction_model_contrasts.csv,table,,,,6,"model, reference, metric, mean_model, mean_reference, mean_difference, ci95_lo, ci95_hi, t, df, p, n_participants, better"
prediction_population_vs_personalised.csv,table,,,,9,"model, metric, population, personalised, mean_difference, ci95_lo, ci95_hi, t, df, p, n_participants, n_improved, verdict"
prediction_rt_by_participant.csv,table,,,,60,"participant, condition, n, observed_rt_s, predicted_rt_s"
prediction_rt_metrics.csv,table,,,,21,"model_name, variant, condition, n, mae_s, rmse_s, r2, mean_observed_s, mean_predicted_s, bias_s"
prediction_rt_residuals.csv,table,,,,8,"cell, n, mean, sd, p05, p95, grouping"
prediction_summary.csv,table,,,,7,"model_name, n, log_loss, top1_accuracy, top2_accuracy, rt_mae_s, rank"
