condition,n_events,observed_substitutions,predicted_substitutions,observed_cross_hand,predicted_cross_hand,observed_homologous,predicted_homologous,observed_within_hand,predicted_within_hand
A,5396,4431,4442.352285388231,1205,1196.6797361211852,309,317.47230432451033,3226,3245.6725492670457
B,5399,426,436.19574108061136,67,67.10608957717967,53,63.15632958433463,359,369.0896515034317
C,5400,323,324.07127129717077,2,2.1649214056057264,1,2.0533250852665734,321,321.90634989156507
