cell,n,mean,sd,grouping
A,5396,8.082756933077644e-16,0.31763356081971533,condition
B,5399,-9.57644471840556e-16,0.27632747363927523,condition
C,5400,2.928531902576289e-15,0.2765910842925231,condition
1,2518,2.2895594166490397e-16,0.27648454249670135,cued digit
2,3879,2.359288325415733e-15,0.2972641429604395,cued digit
3,3680,1.4983183775810809e-15,0.30001835616680983,cued digit
4,3279,1.644511506741197e-16,0.2975003642569806,cued digit
5,2839,-2.7346916559364987e-16,0.27405594659713317,cued digit
