condition,n,mean_rt_s,mean_entropy,mean_conflict,mean_margin
A,5396,0.48779267850321606,1.1754627181003339,0.0,0.36891908307921045
B,5399,0.9701757231428129,0.32822894493187876,2.208182483144566,0.8616560345621136
C,5400,0.7234344063423298,0.2470346688274527,2.2434476654153075,0.8911085246914527
