model,r_squared,n,C(condition)[T.B],C(condition)[T.C],B_minus_C_gap_log,conflict,entropy
condition + digit only,0.5354595405565846,16195,0.705650857628919,0.41059037158856637,0.2951017258122205,,
+ selection conflict,0.5463700834808671,16195,0.5839462339411998,0.28649390277640346,0.2974820754377938,0.05543482587081422,
+ entropy instead of conflict,0.5369216971996462,16195,0.7710330000724903,0.4821861914931383,0.27256756406839155,,0.07727729728217585
