model,n_params,loglik,AIC,BIC,converged,cv_loglik_A,cv_top1_A,cv_loglik_B,cv_top1_B,cv_loglik_C,cv_top1_C
M3 without habitual prior,38,-12794.397857797288,25664.795715594577,25957.109113195584,True,-1.725339717710545,0.3031875463306153,-0.3829353815078436,0.9210964993517318,-0.2860948466436662,0.9401851851851852
M3 without participant prior,50,-10229.786767723852,20559.573535447704,20944.196427027975,True,-1.3205901395750486,0.5266864343958487,-0.35082484430352456,0.9210964993517318,-0.26290275613382363,0.9401851851851852
M3 without reach,220,-11573.639161588899,23587.278323177798,25279.619046130993,True,-1.712134350708188,0.4249444032616753,-0.3624853163747637,0.9210964993517318,-0.2620994605491809,0.9401851851851852
M3 without motor/transition,248,-9272.845728083717,19041.691456167435,20949.42099840558,True,-1.3558135122007664,0.5346553002223869,-0.3471463050529703,0.9210964993517318,-0.26195102252708413,0.9401851851851852
M3 with prior weight fixed at 1,248,-9343.04929850847,19182.09859701694,21089.828139255085,True,-1.3376328214683364,0.507783543365456,-0.35554879489990426,0.9210964993517318,-0.26641250410462186,0.9401851851851852
