participant,trial_index,condition,condition_label,level,level_symbol,sequence,quiz_name,guidance_type,note_count,analyzed,sync_method,sync_offset_s,key_accuracy,hits,misses,fa_main,fa_given_key,key_acc_given_finger,mean_rt_s,rt_correct_key_s,rt_complete_s,median_rt_s,sd_rt_s,min_rt_s,max_rt_s,p95_rt_s,rt_slope_s_per_event,first_half_fa,first_half_rt_s,second_half_fa,second_half_rt_s,timeout_rate,wrong_key,key_ok_wrong_finger,wrong_key_mean_semitones,wrong_key_below,wrong_key_above,unresolved_rate,ambiguous_rate,mean_target_prob,mean_top_margin,borderline_events,manual_corrections,suspected_carryover,excluded_carryover,qc_extra_presses,qc_double_hits,qc_inter_trial_presses,same_hand_n,same_hand_fa,same_hand_rt_s,hand_switch_n,hand_switch_fa,hand_switch_rt_s,fa_L1,te_L1_s,n_L1,fa_L2,te_L2_s,n_L2,fa_L3,te_L3_s,n_L3,fa_L4,te_L4_s,n_L4,fa_L5,te_L5_s,n_L5,fa_R1,te_R1_s,n_R1,fa_R2,te_R2_s,n_R2,fa_R3,te_R3_s,n_R3,fa_R4,te_R4_s,n_R4,fa_R5,te_R5_s,n_R5,fa_theta_0.30,fa_theta_0.35,fa_theta_0.40,fa_theta_0.45,fa_theta_0.50
P09,1,C,Vibrotactile finger guidance,alpha,α,1799551287-α-4,P09-T01-Cα,haptic,30,True,auto,0.036288611094156875,1.0,30,0,1.0,1.0,1.0,0.8360519250233968,0.8360519250233968,0.8360519250233968,0.6929724216461182,0.4169542090687177,0.4440028667449951,2.3967390060424805,2.049163818359375,-0.020523141833380675,1.0,0.9816782951354981,1.0,0.6904255549112955,0.0,0,0,,0,0,0.0,0.0,0.8045445114409642,0.6446133763129591,0,0,0,0,0,0,0,20,1.0,0.8394903421401978,9,1.0,0.7899978955586752,,,0,1.0,0.6960930824279785,2,1.0,0.7991628646850586,2,1.0,1.182138442993164,6,1.0,0.8084316594260079,7,1.0,1.181769847869873,1,1.0,0.7412734826405843,3,1.0,0.6371196269989013,5,1.0,0.6847200393676758,1,1.0,0.6877617041269938,3,1.0,1.0,1.0,1.0,1.0
P09,2,B,Visual finger-cue guidance,alpha,α,1799551287-α-2,P09-T02-Bα,visual,30,True,auto,0.058592430750528945,1.0,30,0,0.9666666666666667,0.9666666666666667,1.0,1.2851468563079833,1.2851468563079833,1.2949521952661975,1.181200385093689,0.4366566810883012,0.8122148513793945,2.47904896736145,2.3082871437072754,-0.022969129220794915,1.0,1.4928794701894124,0.9333333333333333,1.0774142424265543,0.0,0,1,,0,0,0.0,0.03333333333333333,0.8034584732874367,0.7221983779085293,0,1,0,0,0,0,0,20,0.95,1.257120943069458,9,1.0,1.2337444093492296,1.0,1.437989890575409,4,1.0,1.307201623916626,4,1.0,1.021073579788208,2,1.0,1.1461583375930786,2,1.0,2.3082871437072754,1,1.0,1.1899326642354329,3,0.8333333333333334,1.1899991432825725,6,1.0,1.5244152545928955,4,1.0,1.0217432975769043,3,1.0,1.0582048892974854,1,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9
P09,3,B,Visual finger-cue guidance,gamma,γ,1799551287-γ-7,P09-T03-Bγ,visual,30,True,manual,0.058201932907104514,1.0,30,0,0.9666666666666667,0.9666666666666667,1.0,1.2794543266296388,1.2794543266296388,1.2785006062737827,1.163804531097412,0.3221707212439346,0.9050021171569824,2.104957103729248,1.9958043098449707,-0.011901589415892876,1.0,1.3382083892822265,0.9333333333333333,1.2207002639770508,0.0,0,1,,0,0,0.0,0.03333333333333333,0.7714525434597476,0.6573419197746525,0,0,0,0,0,0,0,13,1.0,1.2575199604034424,16,0.9375,1.2738562673330307,0.75,1.4921099543571472,4,1.0,1.3609380722045898,1,1.0,1.552667220433553,3,1.0,1.3020200729370117,2,1.0,1.057346522808075,4,1.0,1.024559497833252,2,1.0,1.0653774738311768,4,1.0,1.3675458431243896,5,1.0,1.5608785152435303,2,1.0,1.0975696245829265,3,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9333333333333333
P09,4,C,Vibrotactile finger guidance,beta,β,1799551287-β-3,P09-T04-Cβ,haptic,30,True,auto,0.05793749491373695,1.0,30,0,1.0,1.0,1.0,0.6994752963383992,0.6994752963383992,0.6994752963383992,0.6460529565811157,0.18082853910177749,0.45403599739074707,1.1766810417175293,1.0581088066101074,-0.003219896057689016,1.0,0.7449731985727946,1.0,0.6539773941040039,0.0,0,0,,0,0,0.0,0.06666666666666667,0.7608011515693346,0.5855238591342459,0,0,0,0,0,0,0,16,1.0,0.7238038778305054,13,1.0,0.6659600551311786,1.0,0.5765478610992432,1,1.0,0.6002036333084106,2,1.0,0.615554690361023,4,1.0,0.9210127592086792,4,1.0,0.7845316727956136,3,1.0,0.47878098487854004,1,1.0,0.5015000502268473,3,1.0,0.668496330579122,6,1.0,0.7956467270851135,4,1.0,0.765296459197998,2,1.0,1.0,1.0,1.0,0.9333333333333333
P09,5,A,Key-only practice,gamma,γ,1799551287-γ-2,P09-T05-Aγ,key-only,30,True,manual,0.03547819455464679,1.0,30,0,0.03333333333333333,0.03333333333333333,1.0,0.48088200092315675,0.48088200092315675,0.46842527389526367,0.4675581455230713,0.15804613294741035,0.27799487113952637,1.0202569961547852,0.8364956378936768,-0.0074982121735976985,0.06666666666666667,0.5502954959869385,0.0,0.411468505859375,0.0,0,29,,0,0,0.0,0.0,0.066778511356799,0.7563836931746863,0,0,0,0,0,0,0,13,0.07692307692307693,0.4556334385505089,16,0.0,0.4896741956472397,0.0,0.5407869815826416,2,0.3333333333333333,0.4878354072570801,3,0.0,0.5724865595499674,3,0.0,0.6328292687733968,3,0.0,0.4873977184295654,5,0.0,0.4220144748687744,4,,,0,0.0,0.3816069602966309,5,0.0,0.49119389057159424,2,0.0,0.41665442784627277,3,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333
P09,6,C,Vibrotactile finger guidance,gamma,γ,1799551287-γ-5,P09-T06-Cγ,haptic,30,True,manual,0.056087160110473655,1.0,30,0,1.0,1.0,1.0,0.6227701743443806,0.6227701743443806,0.6227701743443806,0.6037158966064453,0.16696864940722525,0.40332603454589844,1.1339309215545654,0.9759140014648438,-0.001352056061996104,1.0,0.6162201722462972,1.0,0.6293201764424642,0.0,0,0,,0,0,0.0,0.16666666666666666,0.726127066941256,0.5437866923149638,1,4,0,0,0,0,0,12,1.0,0.670977512995402,17,1.0,0.5852759445414824,1.0,0.6993454694747925,4,1.0,0.4566531181335449,2,1.0,0.5657153129577637,3,1.0,0.7244608402252197,2,1.0,0.7149667739868164,3,1.0,0.5557669639587403,5,1.0,0.4747944672902425,3,1.0,0.5757640600204468,2,1.0,0.7917822996775309,3,1.0,0.6504519780476888,3,0.9,0.9,0.8666666666666667,0.8666666666666667,0.8333333333333334
P09,7,C,Vibrotactile finger guidance,gamma,γ,1799551287-γ-6,P09-T07-Cγ,haptic,30,True,manual,0.05646168390909828,1.0,30,0,1.0,1.0,1.0,0.6616858243942261,0.6616858243942261,0.6616858243942261,0.6290844678878784,0.18816933965848956,0.37819600105285645,1.3428449630737305,0.939608097076416,-0.008697968728019876,1.0,0.7200791041056315,1.0,0.6032925446828207,0.0,0,0,,0,0,0.0,0.2,0.689875007211041,0.482110695709446,4,3,0,0,2,2,0,13,1.0,0.6102829713087815,16,1.0,0.6915331333875656,1.0,0.5842516422271729,3,1.0,0.7775624990463257,4,1.0,0.601115345954895,2,1.0,0.7520724534988403,2,1.0,0.7504276434580485,3,1.0,0.939608097076416,1,1.0,0.616891066233317,3,1.0,0.5522841811180115,4,1.0,0.6775527596473694,4,1.0,0.5800705552101135,4,0.9666666666666667,0.9666666666666667,0.9,0.8333333333333334,0.8
P09,8,B,Visual finger-cue guidance,beta,β,1799551287-β-1,P09-T08-Bβ,visual,30,True,manual,0.057345740000406875,1.0,30,0,0.9333333333333333,0.9333333333333333,1.0,0.860649561882019,0.860649561882019,0.8221180353845868,0.8154770135879517,0.21178834485832188,0.6388330459594727,1.6961488723754883,1.227853775024414,-0.006562538221229834,0.8666666666666667,0.9014543374379476,1.0,0.8198447863260905,0.0,0,2,,0,0,0.0,0.1,0.6983138344200461,0.5590666207356629,1,1,0,0,0,0,0,16,0.9375,0.8872625827789307,13,0.9230769230769231,0.8280031864459698,1.0,0.9258759021759033,3,1.0,0.8098636865615845,2,0.8,0.9886289596557617,5,0.5,1.249293327331543,2,1.0,0.9421850442886353,2,1.0,0.6480331420898438,3,1.0,0.7563650608062744,3,1.0,0.722757895787557,3,1.0,0.7860066890716553,3,1.0,0.839135468006134,4,0.9,0.9,0.9,0.8666666666666667,0.8333333333333334
P09,9,B,Visual finger-cue guidance,alpha,α,1799551287-α-9,P09-T09-Bα,visual,30,True,auto,0.05960812568664553,1.0,30,0,0.9,0.9,1.0,0.9410219589869181,0.9410219589869181,0.9113707719025789,0.7952694892883301,0.37935759584016615,0.613243818283081,2.137509822845459,1.932776927947998,-0.016303502306657055,0.8,1.0461970170338948,1.0,0.8358469009399414,0.0,0,3,,0,0,0.0,0.1,0.7616889671468995,0.6506636438693157,0,1,0,0,0,0,0,19,0.9473684210526315,0.9075003172221937,10,0.8,0.8850642919540406,1.0,0.8554275830586752,3,1.0,0.7621492147445679,4,0.6666666666666666,1.0554061730702717,3,1.0,1.3012500603993733,6,1.0,0.82779860496521,1,1.0,0.6412421464920044,4,1.0,0.7083338101704916,3,1.0,0.667180061340332,2,0.5,0.9063705205917358,2,0.5,1.4885952472686768,2,0.9,0.9,0.9,0.9,0.8666666666666667
P09,10,A,Key-only practice,gamma,γ,1799551287-γ-8,P09-T10-Aγ,key-only,30,True,manual,0.05655493736267092,0.9666666666666667,29,0,0.26666666666666666,0.27586206896551724,1.0,0.49534595807393395,0.5013446479008116,0.439689964056015,0.40317440032958984,0.3346966975755137,0.3014671802520752,1.808239221572876,1.4821908473968506,-0.012063893645968665,0.3333333333333333,0.5825456142425537,0.2,0.40814630190531415,0.0,1,21,2,0,1,0.0,0.0,0.25299933692787663,0.8214263987540367,0,0,0,0,2,2,0,14,0.2857142857142857,0.42784368991851807,15,0.26666666666666666,0.4925584157307943,0.0,0.3513612747192383,3,1.0,0.45036041736602783,4,0.0,0.3258221944173177,3,0.0,0.34109751383463544,3,0.0,0.531151533126831,3,0.0,0.3780207633972168,1,1.0,0.4290195107460022,4,0.0,0.4052753448486328,2,0.0,0.8203245004018148,3,0.0,0.7612541317939758,4,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666
