participant,condition,theta,fa,n_trials,n_events,source
P10,B,0.3,0.914814814814815,9,270,automatic_target_probability
P10,B,0.35,0.8925925925925926,9,270,automatic_target_probability
P10,B,0.4,0.8703703703703703,9,270,automatic_target_probability
P10,B,0.45,0.7740740740740741,9,270,automatic_target_probability
P10,B,0.5,0.6518518518518519,9,270,automatic_target_probability
P10,C,0.3,0.9518518518518518,9,270,automatic_target_probability
P10,C,0.35,0.9037037037037039,9,270,automatic_target_probability
P10,C,0.4,0.8074074074074074,9,270,automatic_target_probability
P10,C,0.45,0.6592592592592593,9,270,automatic_target_probability
P10,C,0.5,0.5333333333333333,9,270,automatic_target_probability
