condition,n,rt_ms,fa_pct,rt_sd_ms,fa_sd_pct
A,9,468.91216123393366,25.185185185185183,99.40091258045305,10.289032876362297
B,9,958.0545023200591,92.5925925925926,110.71761216148982,4.339027597725924
C,9,642.3610940594631,99.25925925925927,125.30107999851548,1.4698618394803264
