condition,target_finger,actual_finger,count
A,L1,L1,1
A,L1,L2,11
A,L1,L3,6
A,L1,R1,1
A,L1,R2,2
A,L2,L2,25
A,L2,L3,6
A,L2,R2,9
A,L2,R3,1
A,L3,L2,20
A,L3,L3,4
A,L3,R2,9
A,L4,L2,13
A,L4,L3,3
A,L4,R2,2
A,L5,L2,9
A,L5,L3,7
A,L5,R2,4
A,R1,L2,5
A,R1,R2,16
A,R1,R3,1
A,R1,R4,1
A,R2,L2,1
A,R2,R2,33
A,R2,R3,1
A,R2,R4,3
A,R3,L2,6
A,R3,R2,21
A,R3,R4,1
A,R4,L2,5
A,R4,L3,1
A,R4,R2,17
A,R4,R3,4
A,R5,L2,1
A,R5,R2,13
A,R5,R3,1
A,R5,R4,5
B,L1,L1,15
B,L1,L2,2
B,L2,L2,25
B,L3,L2,5
B,L3,L3,25
B,L4,L3,8
B,L4,L4,31
B,L4,R2,1
B,L5,L4,3
B,L5,L5,26
B,R1,R1,22
B,R2,R2,27
B,R2,R3,1
B,R3,R2,14
B,R3,R3,23
B,R4,R3,3
B,R4,R4,16
B,R4,R5,1
B,R5,R4,1
B,R5,R5,21
C,L1,L1,23
C,L1,L2,1
C,L2,L2,36
C,L3,L2,7
C,L3,L3,22
C,L4,L3,8
C,L4,L4,16
C,L5,L4,2
C,L5,L5,20
C,R1,R1,18
C,R2,R2,26
C,R3,R2,8
C,R3,R3,19
C,R4,R3,10
C,R4,R4,25
C,R5,R4,3
C,R5,R5,26
