participant,finger_id,x,y,estimator
P10,1,0.9089258532775076,0.22704889302265674,naive
P10,2,0.8225903558731079,0.18969722040237924,naive
P10,3,0.9208978629503094,0.3357294203944732,naive
P10,4,1.0531840459355768,0.4588425456047973,naive
P10,5,1.0603237797816594,0.31999769634535513,naive
P10,1,0.7954014067661792,0.22704889302265674,oldham
P10,2,0.7277417456719183,0.18969722040237924,oldham
P10,3,0.7530331527530728,0.3357294203944732,oldham
P10,4,0.8237627731331781,0.4588425456047973,oldham
P10,5,0.9003249316089819,0.31999769634535513,oldham
P10,1,0.9204587439695994,0.20727822326478496,split_half
P10,2,0.8188964036794809,0.19369900194547518,split_half
P10,3,0.9496102796660529,0.29438354032380243,split_half
P10,4,1.1018859233175005,0.4042964429370428,split_half
P10,5,1.0583723640441896,0.3221188004078225,split_half
