condition,target_finger,n,n_judged,fa,rt_s
A,L5,20,20,0.0,0.4881927013397217
A,L4,18,18,0.0,0.45228389898935956
A,L3,33,33,0.15151515151515152,0.43537906444433966
A,L2,41,41,0.6097560975609756,0.4247240438693907
A,L1,21,21,0.047619047619047616,0.5078040191105434
A,R1,23,23,0.0,0.39779054600259534
A,R2,38,38,0.8684210526315789,0.4247058316280967
A,R3,28,28,0.14285714285714288,0.5675236242158073
A,R4,27,27,0.0,0.45051998562282985
A,R5,20,20,0.0,0.6032916069030761
B,L5,29,29,0.9310344827586207,1.0509340598665435
B,L4,40,40,0.85,1.0387401580810547
B,L3,30,30,0.9,0.9626499493916829
B,L2,25,25,0.92,0.894868392944336
B,L1,17,17,0.9411764705882354,0.953007277320413
B,R1,22,22,1.0,0.8746544881300493
B,R2,28,28,0.9642857142857143,0.7953128559248788
B,R3,37,37,0.9189189189189189,0.8949913076452307
B,R4,20,20,0.95,1.0479012846946716
B,R5,22,22,0.9545454545454546,1.0655922239476985
C,L5,22,22,0.9545454545454546,0.7440993352369829
C,L4,24,24,1.0,0.6189635396003723
C,L3,29,29,1.0,0.6342221704022638
C,L2,36,36,1.0,0.660543852382236
C,L1,24,24,1.0,0.6713337699572245
C,R1,18,18,1.0,0.6959345473183526
C,R2,26,26,1.0,0.5946075274394109
C,R3,27,27,1.0,0.532481105239303
C,R4,35,35,1.0,0.5774578162602015
C,R5,29,29,0.9655172413793103,0.7400777586575212
