participant,condition,category,count,n_events,proportion
P10,A,Correct key + correct finger,68,270,0.2518518518518518
P10,A,Correct key + wrong finger,199,270,0.737037037037037
P10,A,Wrong key + correct finger,0,270,0.0
P10,A,Wrong key + wrong finger,2,270,0.007407407407407408
P10,A,Unresolved finger,0,270,0.0
P10,A,No response (timeout),1,270,0.003703703703703704
P10,B,Correct key + correct finger,250,270,0.9259259259259259
P10,B,Correct key + wrong finger,17,270,0.06296296296296296
P10,B,Wrong key + correct finger,3,270,0.011111111111111112
P10,B,Wrong key + wrong finger,0,270,0.0
P10,B,Unresolved finger,0,270,0.0
P10,B,No response (timeout),0,270,0.0
P10,C,Correct key + correct finger,268,270,0.9925925925925926
P10,C,Correct key + wrong finger,1,270,0.003703703703703704
P10,C,Wrong key + correct finger,1,270,0.003703703703703704
P10,C,Wrong key + wrong finger,0,270,0.0
P10,C,Unresolved finger,0,270,0.0
P10,C,No response (timeout),0,270,0.0
