participant,condition,finger_id,n,n_left,n_right,n_judged,fa,rt_s,n_rt_complete,rt_complete_s
P10,A,1,44,21,23,44,0.022727272727272728,0.45029697634957055,1,0.5957000255584717
P10,A,2,79,41,38,79,0.7341772151898734,0.42471528355079363,58,0.3839568804050314
P10,A,3,61,33,28,61,0.14754098360655737,0.4960355836837018,9,0.7604400316874186
P10,A,4,45,18,27,45,0.0,0.4512255509694417,0,
P10,A,5,40,20,20,40,0.0,0.5457421541213989,0,
P10,B,1,39,17,22,39,0.9743589743589743,0.9088082680335412,38,0.9089258532775076
P10,B,2,53,25,28,53,0.9433962264150944,0.8422730148963209,50,0.8225903558731079
P10,B,3,67,30,37,67,0.9104477611940298,0.92528622186006,61,0.9208978629503094
P10,B,4,60,40,20,60,0.8833333333333333,1.0417938669522604,53,1.0531840459355768
P10,B,5,51,29,22,51,0.9411764705882353,1.057257189470179,48,1.0603237797816594
P10,C,1,42,24,18,42,1.0,0.6818769602548509,42,0.6818769602548509
P10,C,2,62,36,26,62,1.0,0.6328931354707287,62,0.6328931354707287
P10,C,3,56,29,27,56,1.0,0.5851684425558362,56,0.5851684425558362
P10,C,4,59,24,35,59,1.0,0.5943415003307795,59,0.5943415003307795
P10,C,5,51,22,29,51,0.9607843137254902,0.7418125563976812,49,0.7403260834363042
