participant,condition,trial_index,event_index,distance,metric
P10,C,2,5,13,key-index
P10,B,3,26,3,key-index
P10,A,6,14,1,key-index
P10,B,11,22,1,key-index
P10,B,11,29,1,key-index
P10,A,22,15,1,key-index
