participant,condition,trial_index,level,sequence,rt_ms,fa_pct,included
P10,C,1,alpha,1799551287-α-3,796.3367064793905,100.0,True
P10,C,2,gamma,1799551287-γ-4,880.4651950967724,96.66666666666667,True
P10,B,3,beta,1799551287-β-2,995.8780716205465,83.33333333333334,True
P10,A,4,gamma,1799551287-γ-3,604.935097694397,10.0,True
P10,B,5,alpha,1799551287-α-4,911.0645055770874,90.0,True
P10,A,6,beta,1799551287-β-7,490.72409498280496,26.666666666666668,True
P10,C,7,gamma,1799551287-γ-2,678.2777865727743,100.0,True
P10,C,8,beta,1799551287-β-9,549.0819931030273,96.66666666666667,True
P10,B,9,beta,1799551287-β-5,940.7829523086548,93.33333333333333,True
P10,C,10,gamma,1799551287-γ-6,625.7864713668823,100.0,True
P10,B,11,alpha,1799551287-α-9,822.3998631749835,90.0,True
P10,C,12,alpha,1799551287-α-8,498.86887073516846,100.0,True
P10,C,13,alpha,1799551287-α-6,550.906260808309,100.0,True
P10,B,14,alpha,1799551287-α-5,832.8631321589152,96.66666666666667,True
P10,B,15,gamma,1799551287-γ-8,1143.0758396784463,93.33333333333333,True
P10,B,16,gamma,1799551287-γ-9,1064.046573638916,96.66666666666667,True
P10,C,17,beta,1799551287-β-1,565.2643044789633,100.0,True
P10,A,18,alpha,1799551287-α-2,390.20445346832275,40.0,True
P10,A,19,beta,1799551287-β-6,418.97908051808673,33.33333333333333,True
P10,C,20,beta,1799551287-β-4,636.2622578938802,100.0,True
P10,B,21,beta,1799551287-β-3,870.8056608835856,96.66666666666667,True
P10,A,22,gamma,1799551287-γ-7,602.6821629754429,13.333333333333334,True
P10,A,23,beta,1799551287-β-8,395.83369096120197,26.666666666666668,True
P10,A,24,gamma,1799551287-γ-5,568.6753289452915,20.0,True
P10,A,25,alpha,1799551287-α-7,384.26667054494226,36.666666666666664,True
P10,A,26,alpha,1799551287-α-1,363.9088710149129,20.0,True
P10,B,27,gamma,1799551287-γ-1,1041.5739218393962,93.33333333333333,True
