participant,condition,theta,fa,n_trials,n_events,source
P15,B,0.3,0.9333333333333333,9,270,automatic_target_probability
P15,B,0.35,0.922222222222222,9,270,automatic_target_probability
P15,B,0.4,0.911111111111111,9,270,automatic_target_probability
P15,B,0.45,0.8851851851851851,9,270,automatic_target_probability
P15,B,0.5,0.8333333333333335,9,270,automatic_target_probability
P15,C,0.3,0.9666666666666666,9,270,automatic_target_probability
P15,C,0.35,0.9555555555555555,9,270,automatic_target_probability
P15,C,0.4,0.9370370370370371,9,270,automatic_target_probability
P15,C,0.45,0.8925925925925928,9,270,automatic_target_probability
P15,C,0.5,0.8148148148148148,9,270,automatic_target_probability
