condition,target_finger,actual_finger,count
A,L1,L1,1
A,L1,L2,10
A,L1,L3,2
A,L1,L4,1
A,L1,R1,1
A,L1,R2,4
A,L2,L1,1
A,L2,L2,18
A,L2,L3,8
A,L2,L4,3
A,L2,R1,1
A,L2,R2,12
A,L3,L2,15
A,L3,L3,5
A,L3,L5,1
A,L3,R1,1
A,L3,R2,6
A,L3,R3,1
A,L4,L2,14
A,L4,L3,4
A,L4,L4,1
A,L4,L5,1
A,L4,R1,1
A,L4,R2,7
A,L4,R3,1
A,L5,L2,9
A,L5,L3,4
A,L5,L4,1
A,L5,R2,3
A,R1,L2,1
A,R1,R2,19
A,R1,R3,7
A,R2,L2,2
A,R2,R1,1
A,R2,R2,21
A,R2,R3,9
A,R3,L2,2
A,R3,R1,2
A,R3,R2,12
A,R3,R3,8
A,R3,R4,2
A,R4,L2,3
A,R4,R1,1
A,R4,R2,13
A,R4,R3,7
A,R5,L2,1
A,R5,L3,1
A,R5,R1,1
A,R5,R2,13
A,R5,R3,4
A,R5,R4,3
B,L1,L1,17
B,L2,L2,29
B,L3,L3,28
B,L3,L4,1
B,L4,L2,1
B,L4,L3,2
B,L4,L4,30
B,L5,L2,1
B,L5,L5,30
B,R1,R1,17
B,R1,R2,1
B,R1,R5,1
B,R2,L4,1
B,R2,R2,22
B,R3,R2,5
B,R3,R3,28
B,R3,R4,1
B,R4,R2,2
B,R4,R3,2
B,R4,R4,21
B,R5,R4,1
B,R5,R5,29
C,L1,L1,23
C,L1,L2,2
C,L1,L5,1
C,L2,L1,1
C,L2,L2,29
C,L3,L3,34
C,L4,L3,5
C,L4,L4,15
C,L5,L4,2
C,L5,L5,21
C,R1,R1,18
C,R2,R2,34
C,R2,R3,1
C,R2,R4,1
C,R3,R2,3
C,R3,R3,29
C,R4,R3,6
C,R4,R4,26
C,R4,R5,1
C,R5,R4,3
C,R5,R5,15
