participant,condition,trial_index,level,sequence,rt_ms,fa_pct,included
P15,A,1,gamma,1799551287-γ-1,607.5769186019897,16.666666666666664,True
P15,A,2,alpha,1799551287-α-7,463.70790004730225,26.666666666666668,True
P15,A,3,gamma,1799551287-γ-8,541.4604154126398,26.666666666666668,True
P15,B,4,alpha,1799551287-α-4,1036.0914707183838,93.33333333333333,True
P15,A,5,beta,1799551287-β-5,429.13662592569983,30.0,True
P15,C,6,gamma,1799551287-γ-7,926.2983957926433,96.66666666666667,True
P15,B,7,beta,1799551287-β-9,1091.7073447128823,86.66666666666667,True
P15,B,8,alpha,1799551287-α-1,852.1201014518738,86.66666666666667,True
P15,B,9,gamma,1799551287-γ-6,959.7223520278931,93.33333333333333,True
P15,B,10,gamma,1799551287-γ-2,865.1864528656006,96.66666666666667,True
P15,B,11,gamma,1799551287-γ-3,966.1079168319702,100.0,True
P15,C,12,gamma,1799551287-γ-5,720.4213062922161,100.0,True
P15,A,13,beta,1799551287-β-3,589.385303957709,3.3333333333333335,True
P15,A,14,beta,1799551287-β-7,422.28159109751385,16.666666666666664,True
P15,B,15,beta,1799551287-β-2,881.8436861038208,93.33333333333333,True
P15,C,16,beta,1799551287-β-4,679.6900590260824,100.0,True
P15,A,17,alpha,1799551287-α-9,540.0049686431885,13.333333333333334,True
P15,C,18,beta,1799551287-β-8,571.529499689738,93.33333333333333,True
P15,C,19,alpha,1799551287-α-5,557.5981299082439,100.0,True
P15,C,20,alpha,1799551287-α-2,533.9818080266316,93.33333333333333,True
P15,A,21,alpha,1799551287-α-3,437.86918322245276,33.33333333333333,True
P15,C,22,gamma,1799551287-γ-9,702.9521624247234,100.0,True
P15,C,23,beta,1799551287-β-6,526.7803192138672,96.66666666666667,True
P15,C,24,alpha,1799551287-α-8,508.51656595865893,100.0,True
P15,B,25,beta,1799551287-β-1,774.4071236972151,96.66666666666667,True
P15,B,26,alpha,1799551287-α-6,773.0191389719645,100.0,True
P15,A,27,gamma,1799551287-γ-4,449.6070927587049,6.666666666666667,True
