participant,condition,trial_index,event_index,distance,metric
P15,A,3,5,1,key-index
P15,B,7,23,2,key-index
P15,B,8,4,1,key-index
P15,B,8,12,1,key-index
P15,A,13,9,1,key-index
P15,B,25,20,1,key-index
P15,A,27,18,1,key-index
