participant,condition,finger_id,n,n_left,n_right,n_judged,fa,rt_s,n_rt_complete,rt_complete_s
P15,A,1,46,19,27,46,0.021739130434782608,0.45029980203379755,1,0.49018120765686035
P15,A,2,76,43,33,76,0.5,0.465180566436366,38,0.4257783325094926
P15,A,3,55,29,26,55,0.2,0.5544543959877708,11,0.4638882983814586
P15,A,4,53,29,24,53,0.03773584905660377,0.5162408846729206,2,0.761294960975647
P15,A,5,40,17,23,40,0.0,0.5081455171108246,0,
P15,B,1,36,17,19,36,0.8888888888888888,0.814949976073371,32,0.8287384957075119
P15,B,2,52,29,23,52,0.9615384615384616,0.8770636870310857,50,0.885869255065918
P15,B,3,63,29,34,63,0.9365079365079365,0.8998119149889264,59,0.9091760990983349
P15,B,4,58,33,25,58,0.9310344827586207,0.9910504489109434,54,0.9434923198488023
P15,B,5,61,31,30,61,0.9672131147540983,0.9234068628217353,59,0.9239222558878236
P15,C,1,44,26,18,44,0.9318181818181818,0.7329660328951749,41,0.7477793053882879
P15,C,2,66,30,36,66,0.9545454545454546,0.5331306674263694,63,0.5326637199946812
P15,C,3,66,34,32,66,1.0,0.576694293455644,66,0.576694293455644
P15,C,4,53,20,33,53,1.0,0.6231000648354584,53,0.6231000648354584
P15,C,5,41,23,18,41,1.0,0.8124339289781524,41,0.8124339289781524
