condition,target_finger,n,n_judged,fa,rt_s
A,L5,17,17,0.0,0.5496108391705681
A,L4,29,29,0.06896551724137931,0.5511742131463413
A,L3,29,29,0.1724137931034483,0.5004495587842218
A,L2,43,43,0.3953488372093023,0.4694438479667486
A,L1,19,19,0.052631578947368425,0.44076487892552424
A,R1,27,27,0.0,0.4570095627396195
A,R2,33,33,0.6363636363636364,0.4596253814119281
A,R3,26,26,0.23076923076923075,0.61469056056096
A,R4,24,24,0.0,0.4740297794342041
A,R5,23,23,0.0,0.47749723558840546
B,L5,31,31,0.967741935483871,0.9786450093792329
B,L4,33,33,0.9393939393939393,0.9653798666867343
B,L3,29,29,0.9655172413793103,0.9651115022856613
B,L2,29,29,1.0,0.8983016754018849
B,L1,17,17,1.0,0.9117568380692426
B,R1,19,19,0.7894736842105263,0.7283333100770649
B,R2,23,23,0.9130434782608695,0.850285353867904
B,R3,34,34,0.9117647058823529,0.8441152081770056
B,R4,25,25,0.92,1.0249356174468993
B,R5,30,30,0.9666666666666667,0.8663274447123209
C,L5,23,23,1.0,0.8451070578201957
C,L4,20,20,1.0,0.6831436038017273
C,L3,34,34,1.0,0.5621662560631248
C,L2,30,30,0.9666666666666667,0.5530043363571167
C,L1,26,26,0.8846153846153847,0.8498433736654428
C,R1,18,18,1.0,0.5641432073381212
C,R2,36,36,0.9444444444444444,0.5165692766507467
C,R3,32,32,1.0,0.5921303331851959
C,R4,33,33,1.0,0.586710041219538
C,R5,18,18,1.0,0.7706849310133193
