condition,target_finger,n,n_judged,fa,rt_s
A,L5,25,25,0.0,0.4476859188079834
A,L4,35,35,0.02857142857142857,0.43737777982439313
A,L3,30,30,0.03333333333333333,0.43349284331003823
A,L2,23,23,0.2608695652173913,0.4041949044103208
A,L1,23,23,0.043478260869565216,0.4644641979880955
A,R1,24,24,0.0,0.4383790095647176
A,R2,28,28,0.9285714285714286,0.40812822750636507
A,R3,29,29,0.0,0.4025069187427389
A,R4,27,27,0.0,0.5546055458210133
A,R5,25,25,0.0,0.47717818260192874
B,L5,20,20,0.8,0.8234974145889282
B,L4,17,17,0.8823529411764706,0.849653258043177
B,L3,34,34,0.9117647058823529,0.8393161787706263
B,L2,44,44,0.7954545454545454,0.7277125120162964
B,L1,22,22,0.9545454545454546,0.7642417279156771
B,R1,21,21,0.9523809523809524,0.8389046646299816
B,R2,34,34,0.9705882352941176,0.69521664871889
B,R3,31,31,0.903225806451613,0.8071779974045292
B,R4,24,24,0.8333333333333333,0.7724319398403168
B,R5,23,23,0.8695652173913043,0.9049617725869884
C,L5,26,26,0.9615384615384616,0.7420697395618145
C,L4,30,30,0.8666666666666667,0.7784276088078816
C,L3,28,28,0.9642857142857143,0.7070375680923462
C,L2,34,34,1.0,0.6321626761380363
C,L1,17,17,0.9411764705882354,0.5723588466644287
C,R1,19,19,1.0,0.5445454873536762
C,R2,30,30,0.9333333333333332,0.6056748787562053
C,R3,32,32,1.0,0.6761522740125656
C,R4,31,31,1.0,0.6528219023058491
C,R5,23,23,0.9130434782608695,0.695763463559358
