condition,target_finger,actual_finger,count
A,L1,L1,1
A,L1,L2,6
A,L1,L4,1
A,L1,L5,1
A,L1,R1,1
A,L1,R2,13
A,L2,L2,5
A,L2,L3,1
A,L2,R1,2
A,L2,R2,15
A,L3,L2,5
A,L3,L3,3
A,L3,R1,1
A,L3,R2,21
A,L4,L2,15
A,L4,L4,1
A,L4,R1,2
A,L4,R2,17
A,L5,L2,11
A,L5,L3,1
A,L5,L4,1
A,L5,R1,1
A,L5,R2,11
A,R1,R2,23
A,R1,R5,1
A,R2,R2,26
A,R2,R3,1
A,R2,R4,1
A,R3,L2,3
A,R3,R2,26
A,R4,L2,2
A,R4,R1,1
A,R4,R2,21
A,R4,R3,2
A,R4,R5,1
A,R5,R2,21
A,R5,R3,4
B,L1,L1,22
B,L2,L2,38
B,L2,L3,1
B,L2,L5,1
B,L2,R2,4
B,L3,L2,3
B,L3,L3,30
B,L3,L4,1
B,L4,L3,1
B,L4,L4,16
B,L5,L2,3
B,L5,L5,16
B,L5,R2,1
B,R1,R1,19
B,R1,R2,2
B,R2,R2,34
B,R3,R1,1
B,R3,R2,8
B,R3,R3,22
B,R4,R2,2
B,R4,R3,1
B,R4,R4,21
B,R5,R4,2
B,R5,R5,21
C,L1,L1,16
C,L1,L2,1
C,L2,L2,34
C,L3,L1,1
C,L3,L2,1
C,L3,L3,26
C,L4,L2,2
C,L4,L4,28
C,L5,L4,1
C,L5,L5,25
C,R1,R1,19
C,R2,R2,28
C,R2,R4,1
C,R2,R5,1
C,R3,R2,4
C,R3,R3,28
C,R4,R4,31
C,R5,R4,1
C,R5,R5,22
