participant,condition,finger_id,n,n_left,n_right,n_judged,fa,rt_s,n_rt_complete,rt_complete_s
P02,A,1,47,23,24,47,0.02127659574468085,0.4511441017719025,1,0.3839411735534668
P02,A,2,51,23,28,51,0.6274509803921569,0.4063543759140314,32,0.4051170349121094
P02,A,3,59,30,29,59,0.01694915254237288,0.4182624736074674,1,0.46595096588134766
P02,A,4,62,35,27,62,0.016129032258064516,0.4884285811455019,1,0.8418891429901123
P02,A,5,50,25,25,50,0.0,0.4624320507049561,0,
P02,B,1,43,22,21,43,0.9534883720930233,0.8007050225901049,41,0.807530560144564
P02,B,2,78,44,34,78,0.8717948717948718,0.7135476485276834,68,0.7246833408580107
P02,B,3,65,34,31,65,0.9076923076923077,0.8239887384267953,59,0.8264138900627525
P02,B,4,41,17,24,41,0.8536585365853658,0.8044505351927222,35,0.814438465663365
P02,B,5,43,20,23,43,0.8372093023255814,0.8670713735181231,36,0.8791726231575012
P02,C,1,36,17,19,36,0.9722222222222222,0.5576795736948649,35,0.555682304927281
P02,C,2,64,34,30,64,0.96875,0.619746521115303,62,0.6167607038251816
P02,C,3,60,28,32,60,0.9833333333333333,0.6905654112497965,59,0.6945659952648615
P02,C,4,61,30,31,61,0.9344262295081968,0.7145952005855373,57,0.7178171852178741
P02,C,5,49,26,23,49,0.9387755102040817,0.7203341406218859,46,0.7224551335625027
