participant,condition,trial_index,level,sequence,rt_ms,fa_pct,included
P02,A,1,alpha,1799551287-α-9,410.4332447052002,16.666666666666664,True
P02,A,2,gamma,1799551287-γ-8,491.63564929255733,10.344827586206897,True
P02,C,3,beta,1799551287-β-6,639.6617333094279,100.0,True
P02,A,4,gamma,1799551287-γ-5,551.6556706921808,10.0,True
P02,C,5,alpha,1799551287-α-3,607.4701588729332,96.66666666666667,True
P02,C,6,alpha,1799551287-α-4,703.5695273300697,86.66666666666667,True
P02,C,7,beta,1799551287-β-1,621.971575419108,96.66666666666667,True
P02,B,8,beta,1799551287-β-8,718.5071221104374,53.333333333333336,True
P02,C,9,gamma,1799551287-γ-4,781.5922375383049,93.33333333333333,True
P02,B,10,beta,1799551287-β-5,772.1298645282614,90.0,True
P02,A,11,gamma,1799551287-γ-9,482.8847934459818,16.666666666666664,True
P02,C,12,gamma,1799551287-γ-6,701.8710613250732,100.0,True
P02,B,13,gamma,1799551287-γ-7,964.8047049840292,100.0,True
P02,B,14,alpha,1799551287-α-7,725.900386941844,90.0,True
P02,C,15,beta,1799551287-β-3,626.922623316447,100.0,True
P02,C,16,gamma,1799551287-γ-2,664.2169316609701,93.33333333333333,True
P02,A,17,alpha,1799551287-α-5,378.0659777777536,16.666666666666664,True
P02,B,18,alpha,1799551287-α-2,721.4109420776367,90.0,True
P02,B,19,alpha,1799551287-α-8,758.2104841868082,100.0,True
P02,A,20,beta,1799551287-β-4,459.2492415987212,10.0,True
P02,B,21,gamma,1799551287-γ-3,785.5424972680898,83.33333333333334,True
P02,A,22,alpha,1799551287-α-1,411.3058090209961,10.0,True
P02,A,23,beta,1799551287-β-9,383.6944341659546,16.666666666666664,True
P02,B,24,gamma,1799551287-γ-1,892.8698460261028,90.0,True
P02,B,25,beta,1799551287-β-7,799.551788965861,100.0,True
P02,C,26,alpha,1799551287-α-6,666.7565504709879,96.66666666666667,True
P02,A,27,beta,1799551287-β-2,420.6555287043254,10.0,True
