condition,n_events,median_ms,mean_ms,sd_ms,min_ms,p95_ms,max_ms
A,262,398.64349365234375,442.6052743241987,187.48677841895758,264.4212245941162,699.0732073783875,2148.8027572631836
B,261,750.342845916748,794.5291475317944,218.58687722584958,362.34426498413086,1210.6082439422607,1893.6901092529297
C,267,627.802848815918,667.8964046949751,195.0655016854588,360.637903213501,1041.4214134216309,2047.1608638763428
