participant,condition,repetition,fa_main,rt_correct_key_s
P12,B,1,0.9444444444444445,1.1154144313600327
P12,B,2,0.9444444444444445,0.8532678936633115
P12,B,3,0.9333333333333332,0.8606154521306356
P12,C,1,0.9666666666666667,0.7918168836169772
P12,C,2,0.9777777777777779,0.7037124448352389
P12,C,3,1.0,0.6898507754007975
