condition,target_finger,n,n_judged,fa,rt_s
A,L5,23,23,0.0,0.5342696438664976
A,L4,22,22,0.09090909090909091,0.5311920426108621
A,L3,24,24,0.04166666666666667,0.488168865442276
A,L2,38,38,0.4210526315789474,0.5183611857263666
A,L1,22,22,0.0,0.5154372345317494
A,R1,17,17,0.0,0.4780634291031781
A,R2,34,34,0.2647058823529412,0.49681519760805015
A,R3,28,28,0.35714285714285715,0.4994432159832546
A,R4,35,35,0.08571428571428572,0.4780313083103725
A,R5,27,27,0.1111111111111111,0.5486863012667056
B,L5,19,19,1.0,1.086501824228387
B,L4,25,25,0.88,1.1308068466186523
B,L3,34,34,0.9117647058823529,0.9315354333204382
B,L2,39,39,0.923076923076923,0.9334912422375802
B,L1,24,24,0.875,0.8632143338521322
B,R1,21,21,1.0,0.8605489390236991
B,R2,30,30,0.9333333333333332,0.8312082688013712
B,R3,29,29,0.9655172413793103,0.9050585730322476
B,R4,25,25,0.96,0.9240096092224122
B,R5,24,24,1.0,1.0432629585266113
C,L5,29,29,1.0,0.8390934549528977
C,L4,35,35,1.0,0.7423653534480503
C,L3,34,34,0.9411764705882354,0.698480578029857
C,L2,25,25,0.96,0.7205929756164551
C,L1,16,16,1.0,0.8425044268369675
C,R1,26,26,1.0,0.6743462911018958
C,R2,28,28,1.0,0.6530406560216632
C,R3,35,35,1.0,0.6516637461526054
C,R4,22,22,0.9545454545454546,0.7017085552215576
C,R5,20,20,0.95,0.8530257821083069
