condition,n,rt_ms,fa_pct,rt_sd_ms,fa_sd_pct
A,9,508.47204712006624,16.296296296296298,87.28170803518348,8.407081083567531
B,9,943.0992590513265,94.07407407407408,154.51842915120798,3.643021402390002
C,9,728.4600346176712,98.14814814814815,56.24186951747517,1.75682092231577
