participant,condition,trial_index,level,sequence,rt_ms,fa_pct,included
P12,B,1,alpha,1799551287-α-9,1156.7305167516074,96.66666666666667,True
P12,A,2,alpha,1799551287-α-4,532.8613360722859,20.0,True
P12,B,3,gamma,1799551287-γ-1,1237.665597597758,90.0,True
P12,B,4,beta,1799551287-β-5,951.8471797307332,96.66666666666667,True
P12,C,5,beta,1799551287-β-2,796.3547547658284,96.66666666666667,True
P12,C,6,gamma,1799551287-γ-3,821.3895082473755,96.66666666666667,True
P12,C,7,alpha,1799551287-α-6,757.7063878377278,96.66666666666667,True
P12,A,8,gamma,1799551287-γ-7,679.461669921875,6.666666666666667,True
P12,B,9,gamma,1799551287-γ-8,907.2342475255331,93.33333333333333,True
P12,B,10,alpha,1799551287-α-3,796.2443908055623,96.66666666666667,True
P12,A,11,gamma,1799551287-γ-4,538.1795883178711,6.666666666666667,True
P12,A,12,alpha,1799551287-α-7,477.02879905700684,20.0,True
P12,B,13,beta,1799551287-β-8,856.3250426588387,93.33333333333333,True
P12,A,14,gamma,1799551287-γ-6,585.2229833602905,13.333333333333334,True
P12,C,15,beta,1799551287-β-3,675.3681580225626,100.0,True
P12,C,16,alpha,1799551287-α-1,691.4883295694987,96.66666666666667,True
P12,A,17,beta,1799551287-β-9,449.2258866628011,13.333333333333334,True
P12,C,18,gamma,1799551287-γ-9,744.2808469136556,96.66666666666667,True
P12,B,19,gamma,1799551287-γ-2,857.7131668726603,96.66666666666667,True
P12,B,20,alpha,1799551287-α-8,799.9473333358765,96.66666666666667,True
P12,C,21,alpha,1799551287-α-5,664.1492366790771,100.0,True
P12,C,22,beta,1799551287-β-7,677.1533250808716,100.0,True
P12,A,23,alpha,1799551287-α-2,436.694885122365,26.666666666666668,True
P12,A,24,beta,1799551287-β-6,388.90487353006995,30.0,True
P12,A,25,beta,1799551287-β-4,488.66840203603107,10.0,True
P12,C,26,gamma,1799551287-γ-5,728.2497644424438,100.0,True
P12,B,27,beta,1799551287-β-1,924.1858561833699,86.66666666666667,True
