participant,condition,theta,fa,n_trials,n_events,source
P12,B,0.3,0.8592592592592594,9,270,automatic_target_probability
P12,B,0.35,0.8222222222222223,9,270,automatic_target_probability
P12,B,0.4,0.7814814814814814,9,270,automatic_target_probability
P12,B,0.45,0.6629629629629629,9,270,automatic_target_probability
P12,B,0.5,0.6,9,270,automatic_target_probability
P12,C,0.3,0.9037037037037037,9,270,automatic_target_probability
P12,C,0.35,0.8703703703703705,9,270,automatic_target_probability
P12,C,0.4,0.7925925925925925,9,270,automatic_target_probability
P12,C,0.45,0.6777777777777777,9,270,automatic_target_probability
P12,C,0.5,0.6148148148148148,9,270,automatic_target_probability
