condition,target_finger,actual_finger,count
A,L1,L2,13
A,L1,L3,3
A,L1,L4,2
A,L1,L5,1
A,L1,R2,3
A,L2,L2,16
A,L2,L3,7
A,L2,L4,4
A,L2,R2,11
A,L3,L2,12
A,L3,L4,1
A,L3,L5,2
A,L3,R1,1
A,L3,R2,8
A,L4,L2,15
A,L4,L3,4
A,L4,L4,1
A,L4,R2,2
A,L5,L2,19
A,L5,L3,4
A,R1,R2,10
A,R1,R3,4
A,R1,R4,3
A,R2,L2,4
A,R2,R1,1
A,R2,R2,8
A,R2,R3,16
A,R2,R4,4
A,R2,R5,1
A,R3,L2,3
A,R3,R2,16
A,R3,R3,7
A,R3,R4,2
A,R4,L2,3
A,R4,R2,21
A,R4,R3,7
A,R4,R4,4
A,R5,R2,13
A,R5,R3,7
A,R5,R4,4
A,R5,R5,3
B,L1,L1,21
B,L1,R1,3
B,L2,L2,35
B,L2,L3,1
B,L2,L4,1
B,L2,R2,2
B,L3,L2,9
B,L3,L3,22
B,L3,R3,3
B,L4,L2,1
B,L4,L3,6
B,L4,L4,16
B,L4,R2,1
B,L4,R4,1
B,L5,L5,19
B,R1,R1,20
B,R1,R2,1
B,R2,R2,28
B,R2,R3,1
B,R2,R4,1
B,R3,L3,1
B,R3,R2,12
B,R3,R3,16
B,R4,L2,1
B,R4,R3,4
B,R4,R4,20
B,R5,R4,4
B,R5,R5,20
C,L1,L1,14
C,L1,L2,2
C,L2,L2,24
C,L2,L4,1
C,L3,L2,4
C,L3,L3,29
C,L3,L4,1
C,L4,L3,7
C,L4,L4,28
C,L5,L4,2
C,L5,L5,27
C,R1,R1,24
C,R1,R2,2
C,R2,R2,28
C,R3,R2,12
C,R3,R3,23
C,R4,R3,3
C,R4,R4,19
C,R5,R2,1
C,R5,R4,5
C,R5,R5,14
