condition,target_finger,n,n_judged,fa,rt_s
A,L5,26,26,0.038461538461538464,0.4267809666120089
A,L4,27,27,0.2592592592592593,0.46640230108190467
A,L3,29,29,0.24137931034482757,0.47452522968423777
A,L2,32,32,0.3125,0.4320439472794533
A,L1,23,23,0.0,0.4537520408630371
A,R1,30,30,0.0,0.4636944850285848
A,R2,26,26,0.2692307692307692,0.4635485594089215
A,R3,30,30,0.5,0.4133737246195475
A,R4,25,25,0.2,0.4730233573913574
A,R5,22,22,0.045454545454545456,0.4396039030768655
B,L5,30,30,0.8666666666666667,0.883371647198995
B,L4,29,29,1.0,0.9310155901415594
B,L3,33,33,1.0,0.8753786809516676
B,L2,28,28,1.0,0.8814058899879456
B,L1,17,17,1.0,0.8147911324220545
B,R1,14,14,1.0,0.7644054549080985
B,R2,25,25,1.0,0.8249013996124268
B,R3,37,37,0.9729729729729729,0.9211846042323757
B,R4,28,28,1.0,0.9375919614519391
B,R5,29,29,1.0,0.9021459858993004
C,L5,15,15,1.0,0.867083485921224
C,L4,26,26,0.923076923076923,0.7573948823488675
C,L3,30,30,0.9333333333333332,0.7393776178359985
C,L2,42,42,0.880952380952381,0.8643895898546491
C,L1,22,22,1.0,0.8429514386437156
C,R1,20,20,1.0,0.8537466168403626
C,R2,41,41,0.951219512195122,0.8501836672061827
C,R3,25,25,1.0,0.8185975551605225
C,R4,29,29,1.0,0.7926046519443907
C,R5,20,20,0.95,0.9358915567398072
