condition,n_events,median_ms,mean_ms,sd_ms,min_ms,p95_ms,max_ms
A,268,429.0889501571655,450.2133122131006,129.4472575897496,263.592004776001,627.9512047767636,1469.299077987671
B,270,805.9964179992676,884.2287496284202,267.9842573471547,464.74599838256836,1331.6184639930718,3009.596824645996
C,269,761.9390487670898,829.6235228116627,244.9332312296963,497.7569580078125,1362.990951538086,1783.3747863769531
