participant,condition,finger_id,n,n_left,n_right,n_judged,fa,rt_s,n_rt_complete,rt_complete_s
P07,A,1,53,23,30,53,0.0,0.45937983944730937,0,
P07,A,2,58,32,26,58,0.29310344827586204,0.44616670444093903,17,0.4761727697709027
P07,A,3,59,29,30,59,0.3728813559322034,0.44343124405812406,22,0.41055774688720703
P07,A,4,52,27,25,52,0.23076923076923078,0.46958550123068005,12,0.4560060699780782
P07,A,5,48,26,22,48,0.041666666666666664,0.4326581458250682,2,0.535759449005127
P07,B,1,31,17,14,31,1.0,0.7920363103189776,31,0.7920363103189776
P07,B,2,53,28,25,53,1.0,0.8547528284900593,53,0.8547528284900593
P07,B,3,70,33,37,70,0.9857142857142858,0.8995903832571847,69,0.8985564190408458
P07,B,4,57,29,28,57,1.0,0.9342460883291144,57,0.9342460883291144
P07,B,5,59,30,29,59,0.9322033898305084,0.8925997119838909,55,0.8945146864110773
P07,C,1,42,22,20,42,1.0,0.8480919996897379,42,0.8480919996897379
P07,C,2,83,42,41,83,0.9156626506024096,0.8573722063776958,76,0.8395131324466906
P07,C,3,55,30,25,55,0.9636363636363636,0.7753866802562367,53,0.7769252939044304
P07,C,4,55,26,29,55,0.9636363636363636,0.7759600335901434,53,0.7743342822452761
P07,C,5,35,15,20,35,0.9714285714285714,0.9064023835318429,34,0.9141475032357609
