condition,target_finger,actual_finger,count
A,L1,L2,7
A,L1,L3,6
A,L1,L4,4
A,L1,L5,1
A,L1,R2,3
A,L1,R3,2
A,L2,L2,10
A,L2,L3,12
A,L2,L4,1
A,L2,L5,1
A,L2,R2,7
A,L2,R3,1
A,L3,L1,1
A,L3,L2,13
A,L3,L3,7
A,L3,L4,4
A,L3,L5,1
A,L3,R1,1
A,L3,R2,2
A,L4,L2,9
A,L4,L3,7
A,L4,L4,6
A,L4,L5,1
A,L4,R1,1
A,L4,R2,3
A,L5,L2,7
A,L5,L3,8
A,L5,L4,8
A,L5,L5,1
A,L5,R2,2
A,R1,L1,1
A,R1,R2,14
A,R1,R3,7
A,R1,R4,5
A,R1,R5,3
A,R2,L2,4
A,R2,L3,1
A,R2,R2,7
A,R2,R3,9
A,R2,R4,2
A,R2,R5,3
A,R3,L2,6
A,R3,L3,1
A,R3,R1,1
A,R3,R2,2
A,R3,R3,15
A,R3,R4,4
A,R3,R5,1
A,R4,L2,5
A,R4,L3,1
A,R4,R2,7
A,R4,R3,6
A,R4,R4,5
A,R4,R5,1
A,R5,L2,2
A,R5,R2,7
A,R5,R3,6
A,R5,R4,6
A,R5,R5,1
B,L1,L1,17
B,L2,L2,28
B,L3,L3,33
B,L4,L3,1
B,L4,L4,28
B,L5,L4,6
B,L5,L5,24
B,R1,R1,14
B,R2,R2,25
B,R3,R2,1
B,R3,R3,35
B,R3,R4,1
B,R4,R4,28
B,R5,R5,29
C,L1,L1,21
C,L1,L2,1
C,L2,L2,38
C,L2,L3,4
C,L3,L2,2
C,L3,L3,28
C,L4,L1,1
C,L4,L4,24
C,L4,L5,1
C,L5,L5,15
C,R1,R1,20
C,R2,R2,39
C,R2,R3,2
C,R3,R3,25
C,R4,R4,29
C,R5,R3,1
C,R5,R5,19
