participant,condition,trial_index,level,sequence,rt_ms,fa_pct,included
P07,C,1,alpha,1799551287-α-3,972.6436138153076,83.33333333333334,True
P07,B,2,alpha,1799551287-α-6,956.9301048914591,96.66666666666667,True
P07,B,3,beta,1799551287-β-4,813.9209906260173,100.0,True
P07,A,4,beta,1799551287-β-5,457.35904266094343,20.0,True
P07,B,5,gamma,1799551287-γ-7,981.7495028177897,93.33333333333333,True
P07,B,6,alpha,1799551287-α-1,976.2665828069051,100.0,True
P07,C,7,beta,1799551287-β-8,876.5154600143433,96.66666666666667,True
P07,B,8,gamma,1799551287-γ-3,917.5469636917114,100.0,True
P07,A,9,beta,1799551287-β-9,490.3996467590332,20.0,True
P07,B,10,alpha,1799551287-α-8,789.7416273752849,100.0,True
P07,C,11,alpha,1799551287-α-2,853.4084876378378,96.66666666666667,True
P07,C,12,gamma,1799551287-γ-8,838.1993532180786,100.0,True
P07,B,13,gamma,1799551287-γ-6,894.610587755839,100.0,True
P07,C,14,beta,1799551287-β-1,710.2896213531494,100.0,True
P07,A,15,alpha,1799551287-α-9,441.5764570236206,16.666666666666664,True
P07,A,16,alpha,1799551287-α-4,433.43615531921387,13.333333333333334,True
P07,B,17,beta,1799551287-β-3,798.2904036839803,96.66666666666667,True
P07,A,18,gamma,1799551287-γ-2,487.0708465576172,23.333333333333332,True
P07,C,19,beta,1799551287-β-6,747.6381619771322,93.33333333333333,True
P07,A,20,alpha,1799551287-α-7,397.7028528849284,26.666666666666668,True
P07,A,21,beta,1799551287-β-7,413.5214567184448,16.666666666666664,True
P07,C,22,alpha,1799551287-α-5,745.4088052113851,100.0,True
P07,A,23,gamma,1799551287-γ-5,495.7862064756196,13.333333333333334,True
P07,B,24,beta,1799551287-β-2,829.0019830067953,96.66666666666667,True
P07,C,25,gamma,1799551287-γ-4,767.8192648394354,96.66666666666667,True
P07,A,26,gamma,1799551287-γ-9,436.8244330088297,26.666666666666668,True
P07,C,27,gamma,1799551287-γ-1,952.6287953058878,93.33333333333333,True
