condition,target_finger,actual_finger,count
A,L1,L2,3
A,L1,L3,5
A,L1,R2,9
A,L1,R3,1
A,L2,L2,2
A,L2,L3,13
A,L2,L4,3
A,L2,R2,24
A,L2,R3,4
A,L2,R4,1
A,L3,L3,6
A,L3,L4,2
A,L3,R2,21
A,L3,R3,1
A,L4,L3,9
A,L4,L4,2
A,L4,R2,16
A,L5,L2,3
A,L5,L3,4
A,L5,R2,9
A,L5,R3,1
A,R1,R2,22
A,R1,R3,4
A,R1,R4,2
A,R2,R2,24
A,R2,R3,5
A,R2,R4,1
A,R3,L2,1
A,R3,L3,1
A,R3,R2,15
A,R3,R3,6
A,R3,R4,1
A,R4,L2,1
A,R4,R2,18
A,R4,R3,4
A,R4,R4,5
A,R5,L3,1
A,R5,R2,10
A,R5,R3,5
A,R5,R4,5
B,L1,L1,21
B,L1,L2,3
B,L2,L2,25
B,L2,R2,1
B,L3,L3,30
B,L4,L4,27
B,L5,L5,30
B,R1,R1,21
B,R2,R2,28
B,R3,L3,1
B,R3,R3,34
B,R4,R3,1
B,R4,R4,21
B,R4,R5,1
B,R5,R5,26
C,L1,L1,20
C,L2,L2,28
C,L2,L3,1
C,L3,L3,32
C,L4,L3,1
C,L4,L4,27
C,L5,L5,24
C,R1,R1,15
C,R2,R2,34
C,R3,R1,1
C,R3,R2,2
C,R3,R3,30
C,R4,R4,31
C,R5,R5,24
