participant,condition,trial_index,level,sequence,rt_ms,fa_pct,included
P01,B,1,beta,1799551287-β-1,1053.3342599868774,100.0,True
P01,C,2,alpha,1799551287-α-6,841.0554885864258,100.0,True
P01,C,3,gamma,1799551287-γ-6,670.383724673041,96.66666666666667,True
P01,B,4,beta,1799551287-β-5,915.0330940882366,100.0,True
P01,C,5,alpha,1799551287-α-3,549.1530895233154,100.0,True
P01,A,6,gamma,1799551287-γ-5,495.3028043111166,23.333333333333332,True
P01,B,7,beta,1799551287-β-9,929.0710051854452,100.0,True
P01,B,8,alpha,1799551287-α-2,894.7184960047404,100.0,True
P01,C,9,alpha,1799551287-α-1,618.1288401285807,93.33333333333333,True
P01,A,10,gamma,1799551287-γ-1,522.1047480901082,20.0,True
P01,C,11,beta,1799551287-β-4,822.3337173461914,100.0,True
P01,C,12,beta,1799551287-β-6,720.3103939692179,100.0,True
P01,B,13,gamma,1799551287-γ-3,1076.9721349080403,100.0,True
P01,B,14,alpha,1799551287-α-5,1098.9284753799438,96.66666666666667,True
P01,C,15,gamma,1799551287-γ-7,802.4236996968586,100.0,True
P01,B,16,alpha,1799551287-α-4,1311.7832740147908,100.0,True
P01,A,17,gamma,1799551287-γ-4,540.3207858403524,6.666666666666667,True
P01,A,18,beta,1799551287-β-7,402.13033358256024,23.333333333333332,True
P01,A,19,beta,1799551287-β-2,508.7731361389161,16.666666666666664,True
P01,B,20,gamma,1799551287-γ-2,952.9014031092325,90.0,True
P01,A,21,beta,1799551287-β-8,424.5046218236287,23.333333333333332,True
P01,B,22,gamma,1799551287-γ-9,1139.9746020634968,96.66666666666667,True
P01,A,23,alpha,1799551287-α-9,576.0340849558513,13.333333333333334,True
P01,A,24,alpha,1799551287-α-7,422.9614496231079,23.333333333333332,True
P01,C,25,beta,1799551287-β-3,679.2845487594604,100.0,True
P01,C,26,gamma,1799551287-γ-8,653.9599100748698,100.0,True
P01,A,27,alpha,1799551287-α-8,404.1103919347127,6.666666666666667,True
