condition,target_finger,n,n_judged,fa,rt_s
A,L5,17,17,0.0,0.4150557518005371
A,L4,27,27,0.07407407407407407,0.6147102249993218
A,L3,30,30,0.2,0.45356106758117676
A,L2,47,47,0.0425531914893617,0.4835319519042969
A,L1,18,18,0.0,0.5225485695732964
A,R1,28,28,0.0,0.4705940570150103
A,R2,30,30,0.8,0.45343638261159264
A,R3,24,24,0.33333333333333337,0.43746328353881836
A,R4,28,28,0.17857142857142858,0.430518422807966
A,R5,21,21,0.0,0.48390852837335496
B,L5,30,30,1.0,1.1016776164372761
B,L4,27,27,1.0,1.0928859092571117
B,L3,30,30,1.0,1.0049668709437052
B,L2,26,26,0.9615384615384616,1.1413496365913978
B,L1,24,24,0.9166666666666667,0.9420307477315267
B,R1,21,21,1.0,0.8344399588448661
B,R2,28,28,1.0,1.0819162130355835
B,R3,35,35,0.9714285714285714,1.083581440789359
B,R4,23,23,0.9565217391304348,1.0721982976664668
B,R5,26,26,1.0,0.9918313576624944
C,L5,24,24,1.0,0.828569104274114
C,L4,28,28,1.0,0.7979975427900042
C,L3,32,32,1.0,0.6419774517416954
C,L2,29,29,0.9655172413793103,0.589388370513916
C,L1,20,20,1.0,0.8121205687522888
C,R1,15,15,0.9333333333333332,0.575931167602539
C,R2,34,34,1.0,0.5269269452375525
C,R3,33,33,0.9696969696969697,0.6539812593749075
C,R4,31,31,1.0,0.8792901654397288
C,R5,24,24,1.0,0.7932492097218832
